Test patient,RMSE,MAE,MAPE
1127,23.583880251135547,17.61162036384149,14.280914861912159
1,32.460614579981645,22.408001025772535,15.422695831246823
1010,27.62154380557665,19.018273305084747,16.083398222570803
1015,13.46805954455484,9.349100923375993,7.181502798502512
103,13.51357591114699,9.63795825293808,8.058932058368686
1043,23.869956377662273,16.811323171512743,12.615797498450402
1082,20.07432640169085,14.158301647655259,12.92493202339699
11,20.723957974479198,15.206398996235885,15.642455109627896
1115,25.35568365775996,17.22677909799412,10.154811379927672
1121,28.54588878450734,20.46294416243655,17.6790618802732
1139,22.896329206861587,16.890599230346343,12.526402604403945
114,24.426069211865777,17.905064935064935,12.803172937243538
1143,21.324485075934422,15.626581452980306,11.21157189103998
115,27.766280532981682,20.11373092926491,14.58248719939995
1171,24.929650250599096,18.017656090071647,14.633359367001677
1194,18.784100790772612,13.78125392637266,10.67490696077917
1201,20.35257453011291,14.810591663499304,11.904752545702358
1205,22.270286163531726,15.431691078561917,11.006941126551368
1211,31.175586029358243,22.320416719603607,15.295070180826961
1219,21.624943706741227,15.641981549349172,12.495807048493077
1230,19.408045091570326,14.299830971265115,12.393720022809253
1239,20.915046852246782,15.664130014188057,12.332455666982097
1271,31.841536035270458,22.692964824120605,15.204017904801011
1286,16.382277777672247,12.131687758426262,9.528984346316015
1311,23.545279208099416,17.442581503659348,14.526994863808826
1330,25.167525211696844,18.051852788668267,13.604230604415212
1336,29.308120415552075,20.775913256744545,16.562088807458615
1343,13.987673290020334,9.335503119066992,8.518161150598445
1345,25.179443591192474,18.32342402123424,13.583169540208765
1348,40.31852783245874,27.38946692357097,16.22335334155414
1361,21.879418286761002,15.779436583149423,14.28313733790684
1362,21.14188848839372,15.480460843842442,13.066064295601615
1363,26.117812201007556,18.38012454592631,12.534456738336846
1377,24.663436012864857,18.140303842716712,13.753643311823694
1381,20.72430900414149,14.703504043126685,10.730712915546153
1386,29.067535477138552,20.917316482925518,17.732250238265973
1408,32.67626939244817,23.389844169801183,15.432164603831492
1422,28.39094120257733,20.467016284846814,14.503548871246737
1427,24.62934214883601,18.06782398062172,17.143357373097977
1433,25.283670803860264,17.094473922609033,15.849456111969792
1435,21.170953517254794,14.27522547914318,8.994819423700683
144,21.595096109201858,15.380633047210301,10.471815084071313
1457,27.635025599543503,20.36855571190994,16.998821952764455
1459,29.189169644858513,22.315235966872617,15.868061411909462
1484,25.388329814434872,17.68939030244839,10.195267711782135
1503,25.290835348830008,18.689879057924887,13.783640850620813
152,28.17362386547125,20.27030118185284,16.339778291045814
1554,29.258138014409848,21.240245891356167,16.71503229699826
1558,35.429732174401266,24.12766574786015,18.767777253259318
1636,17.743042514282607,12.534489768261283,8.251666343954165
1650,19.7220720285099,13.97393797237425,10.624162884150888
1683,23.726530347148913,15.968089246335452,11.797584118314877
1689,22.67161843640624,16.27745371544509,10.316684285969483
1695,23.461526235443397,16.686189157103286,14.244804870626043
1722,23.014269847786153,16.672385517850383,11.428785558641389
1726,18.61261850581365,13.279320400659312,8.66857332916357
173,21.961983551043037,15.66641045349731,12.296833460817979
18,24.506519263347737,18.2134944612286,13.546151437188431
187,28.035129604344796,20.485834074450516,14.082292555137569
24,27.236375844827496,20.342225113858166,17.450754132182343
248,17.463299696422435,12.772416213370766,12.109212464053325
25,20.474496937789922,15.319763536208518,7.604545448921013
252,23.6648074412459,16.52669279632383,13.99306679441293
