Test patient,RMSE,MAE,MAPE
Subject1,21.671059917848112,16.03298611111111,9.935905878186189
Subject10,31.997304557502847,23.587937579080556,11.252483826318436
Subject11,30.678017741245746,21.763090128755366,13.065541170101525
Subject12,35.00801287253616,25.95977984758679,14.450174659625697
Subject13,18.874885851635568,12.784881007932805,10.525128160180735
Subject14,26.609598108195907,16.971628109995635,5.5016374320356745
Subject15,31.451915206079526,22.784602440050485,13.40479668257849
Subject16,32.667164652121855,22.564810879728007,10.926822805100135
Subject17,29.793201922636836,22.11836051861146,10.12098679434024
Subject18,21.421931578230122,15.75593220338983,8.962439985103675
Subject19,31.79152162853529,22.406779661016948,9.01694745275826
Subject2,25.340244988669525,18.349195710455763,10.033740674636066
Subject20,33.13533943663976,23.321849105974707,14.04040640689112
Subject21,28.77540610503349,19.456806282722514,15.73396807919836
Subject22,22.44982261665169,16.187894073139976,9.092067714902441
Subject23,43.59384048573153,32.533705452984115,15.346576696776618
Subject24,37.10791691132093,27.11761761761762,15.409985963020892
Subject25,27.83402179987695,19.27061310782241,11.426509970198937
Subject26,30.190916971446757,20.9419795221843,9.240665071423228
Subject27,26.8768326392331,19.62914741705166,12.465216986347812
Subject28,26.078607133050646,19.42483108108108,11.952415652938447
Subject29,29.190586593534015,21.35168118220952,14.769403227860314
Subject3,23.341520264663195,16.858548585485856,10.786153814919896
Subject30,27.931545793780284,20.303480919429166,11.798482779732
Subject32,35.63181030218873,24.53855986365573,11.804254778665575
Subject31,23.796387258458093,18.275316073676155,10.901988295467085
Subject33,35.880785424454636,27.28163613123136,15.217049459536632
Subject34,24.934147033971072,18.30909090909091,8.717081421543789
Subject35,37.19389808048854,28.1343537414966,19.735856040569146
Subject36,28.371770372387257,21.54174944444445,12.39249828825243
Subject37,32.990235376449036,23.216880848843303,14.54500331909547
Subject38,26.12200287038345,19.65765121030043,13.886434266946225
Subject39,21.629338901875315,16.437617252650174,12.30899528335458
Subject4,26.80555335432955,20.474074074074075,17.81977374523921
Subject40,35.7574394776566,26.099223468507333,15.985825119922342
Subject41,22.178134685307917,15.478205128205127,10.03736890146582
Subject43,37.439153408861564,28.256932409012133,19.181348707142867
Subject42,24.15024412706599,18.38682425989673,13.375415667697807
Subject47,21.568155643354682,16.35875509578544,10.982069716611305
Subject46,30.861305836707924,20.884731458647146,11.24869457150733
Subject44,23.879431069597103,17.678746327130263,12.79560491777931
Subject45,29.856807850290927,22.77533788453063,16.155510403590352
Subject49,24.13504753448723,17.89540546288055,12.797929153125482
Subject48,21.40995291926377,15.623249893932966,8.934159735210095
Subject51,29.576912944937263,22.261497793871865,12.798259774977122
Subject50,25.57459136303289,19.20664282298259,8.454606312046756
Subject5,21.001766866213494,15.628014842300557,10.571407201057651
Subject53,34.389359518356855,24.279588116704293,15.667210778112883
Subject54,21.52066328543037,15.099609568965516,11.995625359171683
Subject6,26.28856388591999,18.045375972342264,10.21827673016503
Subject7,34.821533607860076,24.7634691195795,12.571769493519557
Subject8,44.68453875243684,30.256816182937555,15.755844647809662
Subject9,26.40649330562627,19.329226847918438,12.14589455188307
