Test patient,RMSE,MAE,MAPE
Subject1,21.4656255660761,15.711647892230868,9.897633648018934
Subject10,36.10057362441069,26.19401470961197,14.208083257291557
Subject11,36.46932547961089,25.77045513206573,15.739481702456223
Subject12,36.12570347643983,26.081643045064926,14.625285006497887
Subject13,22.024268307053422,14.749906437125748,11.43444777049782
Subject14,28.23072658817312,18.029926496324816,7.0855073592853115
Subject15,31.02178429129553,23.16580922661719,15.414293539892507
Subject16,35.03095086842119,23.984832992501705,10.854045352408038
Subject17,30.44199232098296,22.226506832089864,10.325088980518764
Subject18,23.89526143019642,17.740463851839266,11.310332396197799
Subject19,31.434982112549026,22.162857871038995,10.123828025351044
Subject2,30.302852116285862,21.210653753026634,12.882096417989713
Subject20,33.15626808224288,24.354813325172685,15.089124524518184
Subject21,28.543799903763972,19.836511546536038,15.649543875378443
Subject22,23.480452468583813,16.245028648466466,9.559498116378101
Subject23,35.39586263013898,26.059998278385127,12.039141136091219
Subject24,38.728991021035895,27.63999598433892,15.172768776843757
Subject25,26.862380521536526,18.707358426585284,11.028036713552687
Subject26,30.42414366359651,21.10452484817381,9.49126396951325
Subject27,30.76484404741429,22.231837696775823,14.85890280809333
Subject28,21.857147245011028,15.941490262489415,10.429946003981795
Subject29,25.778742414610086,19.050237987425653,12.178614824089001
Subject3,24.967872208834926,18.076286878163188,12.291463750940581
Subject30,24.869106921859306,17.9401022513033,9.360208074312878
Subject32,34.29937867386656,24.451990432256963,13.046540573213694
Subject31,22.19910375265297,16.88253888727476,10.163478048888345
Subject33,34.352918716588974,26.03058521999146,14.953286871571036
Subject34,27.71539159976362,20.44372125314588,10.297710663905494
Subject35,35.66462866290636,26.40228415579988,17.948801662808286
Subject36,26.97628963217681,20.08937942720764,10.951305448362582
Subject37,28.94154953109207,20.868782852377944,12.023574067592325
Subject38,24.754323585431216,18.363494255227604,12.220814915621919
Subject39,21.43114790019208,15.63738794828655,11.624050673225863
Subject4,26.807454544971524,19.486680059393834,16.812321257049444
Subject40,33.4208874932084,24.467439245870448,16.0393813709404
Subject41,27.00149146830879,19.331591123297063,12.482814832632945
Subject43,34.76852911241158,25.9421573736321,20.186769365649685
Subject42,21.350514845676702,16.081574892589074,10.930229105155217
Subject47,20.781548342867595,15.809865941101155,10.623746636733811
Subject46,28.97228724361386,20.652953190455158,12.225559978534548
Subject44,23.220631788734266,16.51679764243615,10.936109796426004
Subject45,30.061057218469003,22.18264103756076,15.58146061780207
Subject49,24.770911275484984,17.517534670480828,12.536586285717
Subject48,26.55975915547303,18.93645797890439,10.863929984739379
Subject51,33.51835069194757,25.043262117384014,14.68732282898286
Subject50,24.931879708292776,17.796102424264127,8.61432213122467
Subject5,22.745773723123914,16.55816981307542,10.48640762287733
Subject53,32.278270638086944,23.528839545411486,15.590456189286817
Subject54,21.74303158401141,15.268500578277525,12.55843592269064
Subject6,23.699917209349195,16.83640932328221,11.908719444514224
Subject7,30.59836002944196,22.03608745280534,11.275589677537964
Subject8,42.4976469936866,29.51878306878307,15.524687218864205
Subject9,28.788377714225124,20.600732288828336,12.041502070572866
