Papers evaluated in this study,Paper title,Publication venue,Year Published,Link,Code Available?,Public Dataset,Private Dataset,Multiple Datasets?,Dataset Distribution included?,Sample size for Evaluation ,Hyperparameters Reported?,Method for tuning hyperparameters reported?,"Evaluation metric reported (RMSE / MAPE, MAE)","Include all reported prediction horizon (like, future 30, future 60 ...)",Sampling horizon,Baseline included?,Variance Reported?,other lifestyle factors applied to train model,Best reported result (prediction horizon) 30 is the primary,Best reported metric,Best reported prediction horizon,model type ,Link,,,,,
,Blood glucose prediction in type 1 diabetes using deep learning on the edge,,2021,https://ieeexplore.ieee.org/abstract/document/9401083/,No,OhioT1DM,,No,No,OhioT1DM: 12 ,Yes,Grid Search,"RMSE, MAE, gRMSE","30,60 ","30, 60 ","RF, SVR, ANN",No,No,19.10 (30),19.1,30,LSTM,https://ieeexplore.ieee.org/abstract/document/9401083/,,,,,
,Blood glucose prediction model for type 1 diabetes based on artificial neural network with time-domain features,,2020,https://www.sciencedirect.com/science/article/pii/S0208521620301248,No,DirecNet,,No,Yes,DirecNet: 12,Yes,Grid Search,"RMSE, MAE, gMSE, R^2","15, 30, 45, 60 ",30," RF, SVR, DT, KNN, AdaBoost, XGBoost",Yes,No,6.31 (30),6.31,30,MLP,https://www.sciencedirect.com/science/article/pii/S0208521620301248,,,,,
,GARNN: An interpretable graph attentive recurrent neural network for predicting blood glucose levels via multivariate time series,,2025,https://doi.org/10.1016/j.neunet.2025.107229,Yes,"OhioT1DM, ShanghaiT1DM, ShanghaiT2DM",ARISES,Yes,Yes,"OhioT1DM: 12,
ARISES: 12,
ShanghaiT1DM: 12, 
ShanghaiT2DM: 100",Yes,Grid Search,"RMSE, MAE, MAPE, gRMSE",30,240,15 baselines,Yes,"Ohio: bolus, basal, meal, finger stick, exercise, sleep,",18.97 (30),18.97,30,GRU,https://doi.org/10.1016/j.neunet.2025.107229,,,,,
,LSTMs and neural attention models for blood glucose prediction: Comparative experiments on real and synthetic data,,2019,https://ieeexplore.ieee.org/abstract/document/8856940/,No,OhioT1DM,,Yes,No,"OhioT1DM: 6,
AIDA: 600 days,
UVA/Padova: 10 ",Yes,Grid Search,"RMSE, CEGA","30,60 ","AIDA: 720,
UVA/Padova: 360, 
OhioT1DM: 360","t0 baseline, ARIMA",Yes,"Insulin Data (I), Meal Information (M), Time of Day (ToD), skin conductance (SC), Skin Temperature (ST), and heart rate (HR)",18.10 (30),18.1,30,LSTM,https://ieeexplore.ieee.org/abstract/document/8856940/,,,,,
Li 2020,GluNet: A Deep Learning Framework for Accurate Glucose Forecasting,,2019,https://ieeexplore.ieee.org/document/8779644,No,OhioT1DM,"UVA/Padova, ABC4D",Yes,No,"UVA/Padova: 10,
ABC4D: 180 days, 
OhioT1DM: 6 subjects",No,Yes,"RMSE, MARD, Time Lag","30, 60",80 (16 * 5),No,Yes,,19.28 (30),19.28,30,LSTM,https://ieeexplore.ieee.org/document/8779644,,,,,
,Personalized blood glucose prediction for type 1 diabetes using evidential deep learning and meta-learning,,2022,https://ieeexplore.ieee.org/abstract/document/9813400/,No,OhioT1DM,"ARISES, ABC4D",Yes,Yes,"OhioT1DM: 12, 
ARISES: 12, 
ABC4D: 25",Yes,Yes,"RMSE, MAE, gRMSE, Error score","30, 60",NA,Transformer ,Yes,,18.54 (30),18.54,30,FCNN,https://ieeexplore.ieee.org/abstract/document/9813400/,,,,,
,Population-Specific Glucose Prediction in Diabetes Care With Transformer-Based Deep Learning on the Edge,,2024,https://ieeexplore.ieee.org/abstract/document/10379014,No,"OhioT1DM, ShanghaiT1DM, ShanghaiT2DM",,Yes,No,"OhioT1DM: 12,
ShanghaiT2DM: 100,
ShanghaiT1DM: 12",No,Hyperband Tuner,"RMSE, MAE, MAPE, gRMSE","30, 60",120,Yes,Yes,,12.7 (30) ,12.7,30,Transformer,https://ieeexplore.ieee.org/abstract/document/10379014,,,,,
,Prediction of blood glucose levels and nocturnal hypoglycemia using physiological models and artificial neural networks,,2018,https://ceur-ws.org/Vol-2148/paper14.pdf,No,OhioT1DM,,No,Yes,OhioT1DM: 6,Yes ,Yes,RMSE,"30, 60",30,No,Yes,,19.33 (30),19.33,30,ANN,https://ceur-ws.org/Vol-2148/paper14.pdf,,,,,w1
,Short term blood glucose prediction based on continuous glucose monitoring data,,2020,https://ieeexplore.ieee.org/abstract/document/9176695/,No,,Cornerstones4Care,No,No,Cornerstones4Care: 50,Yes,No,"MAE, RMSE","15, 30, 45, 60, 90",120,t0 baseline,Yes,,"20.73 (30), ",20.73,30,RNN,https://ieeexplore.ieee.org/abstract/document/9176695/,,,,,
,Smartphone-based personalized blood glucose prediction,,,https://www.sciencedirect.com/science/article/pii/S2405959516301126,No,UCI ML Repository,Custom Dataset,Yes,No,Custom Dataset: 70,No,No,"MAE, RMSE, R^2",No,NA,No,Yes,,27.45 (NA),27.45,NA,Linear Regression,https://www.sciencedirect.com/science/article/pii/S2405959516301126,,,,,
Rabby 2021,Stacked LSTM based deep recurrent neural network with kalman smoothing for blood glucose prediction,,2021,https://link.springer.com/article/10.1186/s12911-021-01462-5,No,OhioT1DM ,,No,No,OhioT1DM: 6,Yes,No,RMSE,30. 60,"30, 60, 120, 240",Yes,Yes,,18.57 (30),18.57,30,LSTM,https://link.springer.com/article/10.1186/s12911-021-01462-5,,,,,
,The importance of interpreting machine learning models for blood glucose prediction in diabetes: an analysis using SHAP,,2023,https://www.nature.com/articles/s41598-023-44155-x,Yes,OhioT1DM ,,No,Yes,OhioT1DM: 1,No,No,"MAE, RMSE, Time Gain","30, 60","10, 15",No,No,,21.43 (30),21.43,30,LSTM,https://www.nature.com/articles/s41598-023-44155-x,,,,,
Martinson 2019,Blood glucose prediction with variance estimation using recurrent neural networks,,2020,https://link.springer.com/article/10.1007/s41666-019-00059-y,Yes,OhioT1DM ,,No,No,OhioT1DM: 6,Yes,Grid Search,"RMSE, Surveillance Error Grid","30, 60","30, 60, 120, 180",t0 baseline,Yes,No,18.867 (30),18.867,30,LSTM,https://link.springer.com/article/10.1007/s41666-019-00059-y,,,,,
van Doorn 2021,Machine learning-based glucose prediction with use of continuous glucose and physical activity monitoring data: The Maastricht Study,,2021,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0253125,No,"OhioT1DM, Maastricht Study",,Yes,Yes,"Maastricht: 540, 
OhioT1DM: 6



",Yes,No,"RMSE, Spearman rank correlation, Surveillance Error Grid","15, 30, 60",30," ARIMA, SVR, LightGBM, MLP",Yes,"Acc included, but for Ohiot1dm, just CGM",18.83 (30),18.83,30,LSTM,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0253125,,,,,
Deng 2021,Deep transfer learning and data augmentation improve glucose levels prediction in type 2 diabetes patients,,2021,https://www.nature.com/articles/s41746-021-00480-x,Yes,OhioT1DM ,Beth Israel Deaconess Medical Center,Yes,No,"BIDMC: 40, 
OhioT1DM: 12",Yes,Grid Search,"MAE, RMSE, AUROC","30, 60",30,"GP, FNN, SVM",No,No,19.03 (30),19.03,30,CNN,https://www.nature.com/articles/s41746-021-00480-x,,,,,
Lee 2023,Glucose Transformer: Forecasting Glucose Level and Events of Hyperglycemia and Hypoglycemia,,2023,https://ieeexplore.ieee.org/abstract/document/10035395/keywords#keywords,No,OhioT1DM ,Soonchunhyang Univerisity Cheonan Hospital,Yes,Yes,"Custom Dataset: 330, 
OhioT1DM: 12",Yes,No,"MAPE, Clarke Error Grid","15, 30, 45","60, 120, 180",No,No,No,17.88 (60),17.88,30 (MAPE),Transformer encoder,https://ieeexplore.ieee.org/abstract/document/10035395/keywords#keywords,,,,,
,A Deep Learning Algorithm for Personalized Blood Glucose Prediction.,,2018,https://ceur-ws.org/Vol-2148/paper12.pdf,No,OhioT1DM ,,No,No,OhioT1DM: 6,Partly,No,RMSE,30,30,No,No,Yes,21.72 (30),21.72,30,CNN,https://ceur-ws.org/Vol-2148/paper12.pdf,,,,,
,A deep learning approach for blood glucose prediction of type 1 diabetes,,2020,https://arodes.hes-so.ch/record/11048?ln=de&v=%5B%27%5B%22%5B%5C%27pdf%5C%27%5D%22%5D%27%5D,Yes,OhioT1DM ,,No,No,OhioT1DM: 6,Yes,No,"RMSE, MAE","30, 60",120,t0 baseline,No,"meal, insulin",17.45 (30),17.45,30,CNN,https://arodes.hes-so.ch/record/11048?ln=de&v=%5B%27%5B%22%5B%5C%27pdf%5C%27%5D%22%5D%27%5D,,,,,
