Paper,Link,Code Available,Public Dataset,Multiple Datasets,Dataset Distribution included,Sample size for Evaluation ,Hyperparameters Reported,Report hyperparameter turning,Evaluation metric reported,Prediction horizon,Sampling horizon,Baseline included,Variance Reported,other lifestyle factors
Blood glucose prediction in type 1 diabetes using deep learning on the edge,https://ieeexplore.ieee.org/abstract/document/9401083/,No,"Y, OhioT1DM",NO,NO,"For each sample, training (~ 40 days) and testing sets (~10 days)",Y,"Y, grid search","RMSE, MAE, gRMSE",30 and 60 min,30 and 60 min,"Yes, RF, SVR, ANN",No,
Blood glucose prediction model for type 1 diabetes based on artificial neural network with time-domain features,https://www.sciencedirect.com/science/article/pii/S0208521620301248,No,"Y, DirecNet",NO,"Y, mean / min / max / std BG for each individual showed in a table",each patient’s dataset is split into two parts: the first 80% for training and the rest for testing.,Y,"Y, grid search","RMSE, MAE, gMSE, R^2","15, 30, 45, 60 min",30 min,"Yes, RF, SVR, DT, KNN, AdaBoost, XGBoost",Yes,
GARNN: An interpretable graph attentive recurrent neural network for predicting blood glucose levels via multivariate time series,https://doi.org/10.1016/j.neunet.2025.107229,Yes,"Y, 3 public (OhioT1DM, ShanghaiT1DM, ShanghaiT2DM), 1 not public",Y,"Y, summary table for mean / std of BG, TIR TBR, TAR, Coefficient of variation, Low blood glucose index, High blood glucose index","OhioT1DM: 12 participants (Type 1 Diabetes)
ArisesT1DM: 12 participants (Type 1 Diabetes)
ShanghaiT1DM: 12 participants (Type 1 Diabetes)
ShanghaiT2DM: 100 participants (Type 2 Diabetes)",Y,"Y, grid search","RMSE, MAE, MAPE, gRMSE",30-minute,48 * 5 mins,"Yes, 15 baselines",Yes,"For Ohio: bolus, basal, meal, finger stick, exercise, sleep, ... 
(include almost features)"
LSTMs and neural attention models for blood glucose prediction: Comparative experiments on real and synthetic data,https://ieeexplore.ieee.org/abstract/document/8856940/,"Yes? (had the link, but it is invalid)","Y, OhioT1DM","Y, OhioT1DM and 2 synthetic datasets (AIDA and UVa/Padova)",NO,"OhioT1DM: 6 participants
AIDA simulator: 600 days
UVa/Padova dataset includes 10 simulated patient profiles, each run for 90 days under 15 different conditions.",Y,"Y, grid search","RMSE, CEGA",30 and 60 min,"AIDA: 12 hours
UVa/Padova and OhioT1DM: 6 hours","Yes. t0 baseline  (Assumes no change in blood glucose)
and ARIMA ",Yes,"Insulin Data (I), Meal Information (M), Time of Day (ToD) also used to train models, skin conductance (SC), Skin Temperature (ST), and heart rate (HR)"
GluNet: A Deep Learning Framework for Accurate Glucose Forecasting,https://ieeexplore.ieee.org/document/8779644,No,"Yes. UVA/Padova Simulator, ABCD4, OhioT1DM","Yes, 1 Synthetic,(UVA/Padova), 2 clinical ABCD4, OhioT1DM","No*
Standard deviation of meal times is given. No information about glucose values","10 Simulated Adults, 10 Simulated Adolescents, 180 days of data (50/50 train-test)
ABC4D 180 days (50/50 train-test)
OhioT1DM 6 subjects, (40 days train/10 days test)
",No,Yes,"RMSE, MARD, Time Lag","30, 60",16 * 5min,No,Yes,
Personalized blood glucose prediction for type 1 diabetes using evidential deep learning and meta-learning,https://ieeexplore.ieee.org/abstract/document/9813400/,No,"Y. OhioT1DM, ARISES, ABC4D","Yes, OhioT1DM for evaluation",Yes (Train/Test split),"Yes. 12 (Ohio), 12 (ARISES), 25 (ABC4D)",Yes,Yes,"Yes, RMSE, MAE, gRMSE, error score","30, 60",No,Yes. Transformer Model,Yes,
Personalized blood glucose prediction: A hybrid approach using grammatical evolution and physiological models,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0187754,Yes,N. Simulated from UVA/Padova,No,No,100,No,No,"RMSE, gRMSE, MAD, gMAD, MARD, gMARD",120,6 hours ,Yes,Yes ,
Population-Specific Glucose Prediction in Diabetes Care With Transformer-Based Deep Learning on the Edge,https://ieeexplore.ieee.org/abstract/document/10379014,No,"Yes, OhioT1DM, ShanghaiDM","Yes, OhioT1DM, ShanghaiDM",No,"12 for OhioT1DM model
100 from ShanghaiT1DM (Type 2 Diabetes)
12 from ShanghaiT1DM (Type 1 Diabetes) ",No,Yes (HyperBand Tuner),,"30, 60",120,"Yes,",Yes,
Prediction of blood glucose levels and nocturnal hypoglycemia using physiological models and artificial neural networks,https://ceur-ws.org/Vol-2148/paper14.pdf,No,"Yes, OhioT1DM (2018)",,"Yes 
Rules for selection of subset based on CGM data",6 for OhioT1DM (2018),Yes ,Yes (Kfold),RMSE,"30, 60",30,No,"No*
Average and individual data points reported",
Short term blood glucose prediction based on continuous glucose monitoring data,https://ieeexplore.ieee.org/abstract/document/9176695/,No,"No, (Cornerstones4Care)",No,No. Mentioned that 96% is average adherence,50 from the Cornerstones4Care platform,Yes,No,"MAE, RMSE","15, 30, 45, 60, 90",120,"Yes,  (last observed as prediction)",Yes,
Smartphone-based personalized blood glucose prediction,https://www.sciencedirect.com/science/article/pii/S2405959516301126,No,"Yes, UCI Machine Learning Repository",Yes. Tested on Pooled Population Dataset collected from smartphones. Not described in depth,No,70 patients,No,No,"MAE, RMSE, R^2",No,NA,No,Yes,
Stacked LSTM based deep recurrent neural network with kalman smoothing for blood glucose prediction,https://link.springer.com/article/10.1186/s12911-021-01462-5,No,OhioT1DM (2018),No,No (Sex distribution mentioned),6 for OhioT1DM,Yes,No,RMSE,30. 60,"30, 60, 120, 240",Yes,"No*
Average and individual data points reported",
The importance of interpreting machine learning models for blood glucose prediction in diabetes: an analysis using SHAP,https://www.nature.com/articles/s41598-023-44155-x,Yes,OhioT1DM ,No,Yes,1 Subject from OhioT1DM (Subject 588),No,No,"MAE, RMSE, Time Gain","30, 60","10, 15",No,No,
Blood glucose prediction with variance estimation using recurrent neural networks,https://link.springer.com/article/10.1007/s41666-019-00059-y,Yes,"Yes, OhioT1DM",No,No (basic demographics mentioned),6 in OhioT1DM,Yes,"Yes, but only sampling horizon, grid search","RMSE, Surveillance Error Grid","30, 60","30, 60, 120, 180","Yes (in code), Naive baseline",Yes,No
Machine learning-based glucose prediction with use of continuous glucose and physical activity monitoring data: The Maastricht Study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0253125,No,Application needed: (The Maastricht Study). Open: OhioT1DM,Yes,"Yes, reported BG statistics","Maastricht: 540 (CGM & ACC), and 6 in OhioT1DM",Yes,Not mentioned,"RMSE, Spearman rank correlation, Surveillance Error Grid","15, 30, 60",30,"Yes, but ARIMA, SVR, LightGBM, MLP",Report confident interval,"Acc included, but for Ohiot1dm, just CGM"
Deep transfer learning and data augmentation improve glucose levels prediction in type 2 diabetes patients,https://www.nature.com/articles/s41746-021-00480-x,Yes,"No, (Beth Israel Deaconess Medical Center), Open: OhioT1DM",Yes,Only report average BG,"BIDMC: 40, OhioT1DM: 12",Yes,"Yes, grid search","MAE, RMSE, AUROC","30, 60",30,"Yes, but GP, FNN, SVM","No, only average RMSE",No
Glucose Transformer: Forecasting Glucose Level and Events of Hyperglycemia and Hypoglycemia,https://ieeexplore.ieee.org/abstract/document/10035395/keywords#keywords,No,"No (data collected in Soonchunhyang University Cheonan Hospital), Open: OhiotT1DM",Yes,"Yes, mean, sd, quantile are reported","In house data: 330, OhioT1DM: 12",Yes,No details mentioned,"MAPE, Clarke Grid error","15, 30, 45","60, 120, 180",No,No,No
A Deep Learning Algorithm for Personalized Blood Glucose Prediction.,https://ceur-ws.org/Vol-2148/paper12.pdf,No,"Yes, OhioT1DM",No,No,OhioT1DM: 6,Part,No,RMSE,30,30,No,Report average for each individual,Yes
A deep learning approach for blood glucose prediction of type 1 diabetes,https://arodes.hes-so.ch/record/11048?ln=de&v=%5B%27%5B%22%5B%5C%27pdf%5C%27%5D%22%5D%27%5D,Yes,"Yes, OhioT1DM",No,No,OhioT1DM: 6,Yes,No,"RMSE, MAE","30, 60",120,"Yes, naive baseline",No,"Yes, meal, insulin"
A deep learning approach to diabetic blood glucose prediction,https://www.frontiersin.org/articles/10.3389/fams.2017.00014/full,No,Yes: DirectNet Central Lab,No,No,DirecNet: 25,No,,,,30,,,
A meta-learning approach to personalized blood glucose prediction in type 1 diabetes,https://www.sciencedirect.com/science/article/pii/S0967066123000679,No,From UVA/PADOVA simulator,No,No,10 from simulator,Part,No,"RMSE, MARD, Clarke Error Grid","30, 60, 90",150,"Yes, multiple ML, DL baselines",Y,"Yes, Insulin, carbs"
A multi-patient data-driven approach to blood glucose prediction,https://ieeexplore.ieee.org/abstract/document/8723121/,No,"Yes, RT-CGM",No,No (only basic demographics mentioned),RT-CGM: 451,Yes,"Yes: Lipschitz order index, OBS, grid search","RMSE, R^2, MAD, time lag, clarke error grid","30, 45, 60, 90","150, 85, 40","Yes, AR, FNN, vanilla RNN",No,No
A multitask learning approach to personalized blood glucose prediction,https://ieeexplore.ieee.org/abstract/document/9497711/,No,"Yes, OhioT1DM",No,"Yes, reported GV",OhioT1DM: 12,Yes,Yes,"RMSE, MAE, Clarke error grid","30, 45, 60, 90, 120",,Yes: SVR,Yes,"Yes, Insulin, meals, activity"
A Novel Hybrid Deep Learning Model for Blood Glucose Prediction with Extended Prediction Horizons in Type-1 Diabetic Patients,https://ieeexplore.ieee.org/abstract/document/10434032,No,"Yes, ShanghaiT1DM",No,"No, only reported average BG",12 participants (Type 1 Diabetes),No,No,"RMSE, MAE, R^2","60, 75, 90",Not clear,No,No,"Yes, age, Insulin, meals"
Developing an Individual Glucose Prediction Model Using Recurrent Neural Network,https://www.mdpi.com/1424-8220/20/22/6460,No,"Yes, also SUCH, but earlier data",Yes,Yes,SUCH: 20,Part,"Yes, but on optimization and training epoch","RMSE, MAPE",30,30,"Yes, but vanilla RNN",No,No
Impact of nutritional factors in blood glucose prediction in type 1 diabetes through machine learning,https://ieeexplore.ieee.org/abstract/document/10043722/,No,"Yes, DirectNet, AI4PG",Yes,Description provided in text. No histogram for blood glucose,"DirectNet: 12 
AI4PG: 15 ",Yes,"Yes, grid search",RMSE,"15,30, 45, 60",30,No,Yes,"Yes, insulin, nutritional (carbs, proteins, fibres, libids, energy intake)"
Incorporating real-world evidence into the development of patient blood glucose prediction algorithms for the ICU,https://academic.oup.com/jamia/article-abstract/28/8/1642/6237196,No,"Yes, MIMIC-III",No,Yes,MIMIC-III: 14742 subjects,Part,No,"RMSE, MAPE, MAD",2 hours,2-24 hours,"Yes, Naive baseline",Yes,"Yes, bedside measures, labs, drugs, nutrition"
Integrating Bayesian Approaches and Expert Knowledge for Forecasting Continuous Glucose Monitoring Values in Type 2 Diabetes Mellitus,https://ieeexplore.ieee.org/abstract/document/10702462,No,"Yes, ShanghaiDM datasets",No,Yes,"100 from ShanghaiT2DM (Type 2 Diabetes)
12 from ShanghaiT1DM (Type 1 Diabetes) ",No,Yes (Tabu search) ,"MAE, RMSE, MAPE","15, 30, 45, 60",2 hours,Yes (other models),Yes,"Yes,Trend, seasonal, and regressor components"
